# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 310:         3.596       51.442       8.00  VLISSINGEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# 
# STN,YYYYMMDD,   FG
# 
  310,20170411,   49
  310,20170412,   91
  310,20170413,   52
  310,20170414,   53
  310,20170415,   73
  310,20170416,   58
  310,20170417,   62
  310,20170418,   45
  310,20170419,   42
  310,20170420,   37
  310,20170421,   57
  310,20170422,   44
  310,20170423,   35
  310,20170424,   72
  310,20170425,   64
  310,20170426,   45
  310,20170427,   50
  310,20170428,   43
  310,20170429,   44
  310,20170430,   95
  310,20170501,   65
  310,20170502,   33
  310,20170503,   42
  310,20170504,   61
  310,20170505,   55
  310,20170506,   61
  310,20170507,   57
  310,20170508,   65
  310,20170509,   37
  310,20170510,   37
  310,20170511,   44
  310,20170512,   50
  310,20170513,   46
  310,20170514,   64
  310,20170515,   49
  310,20170516,   48
  310,20170517,   52
  310,20170518,   48
  310,20170519,   81
  310,20170520,   46
  310,20170521,   31
  310,20170522,   30
  310,20170523,   48
  310,20170524,   46
  310,20170525,   38
  310,20170526,   65
  310,20170527,   65
  310,20170528,   33
  310,20170529,   50
  310,20170530,   80
  310,20170531,   43
  310,20170601,   33
  310,20170602,   29
  310,20170603,   54
  310,20170604,   64
  310,20170605,   57
  310,20170606,  146
  310,20170607,  147
  310,20170608,   65
  310,20170609,   88
  310,20170610,   46
  310,20170611,   61
  310,20170612,  107
  310,20170613,   39
  310,20170614,   37
  310,20170615,   80
  310,20170616,   63
  310,20170617,   39
  310,20170618,   30
  310,20170619,   36
  310,20170620,   49
  310,20170621,   46
  310,20170622,   78
  310,20170623,   95
  310,20170624,   99
  310,20170625,  105
  310,20170626,   44
  310,20170627,   55
  310,20170628,   67
  310,20170629,   52
  310,20170630,   43
  310,20170701,   61
  310,20170702,   49
  310,20170703,   76
  310,20170704,   28
  310,20170705,   38
  310,20170706,   54
  310,20170707,   48
  310,20170708,   42
  310,20170709,   30
  310,20170710,   54
  310,20170711,   67
  310,20170712,   70
  310,20170713,   25
  310,20170714,   53
  310,20170715,   47
  310,20170716,   56
  310,20170717,   39
  310,20170718,   55
  310,20170719,   59
  310,20170720,   75
  310,20170721,   59
  310,20170722,   49
  310,20170723,   80
  310,20170724,   50
  310,20170725,   58
  310,20170726,   53
  310,20170727,   90
  310,20170728,   97
  310,20170729,   63
  310,20170730,   89
  310,20170731,   44
  310,20170801,   33
  310,20170802,   56
  310,20170803,  110
  310,20170804,  101
  310,20170805,   52
  310,20170806,   47
  310,20170807,   44
  310,20170808,   38
  310,20170809,   51
  310,20170810,   35
  310,20170811,   49
  310,20170812,   70
  310,20170813,   34
  310,20170814,   25
  310,20170815,   41
  310,20170816,   34
  310,20170817,   73
  310,20170818,   89
  310,20170819,  100
  310,20170820,   59
  310,20170821,   37
  310,20170822,   25
